1397,65887115,57339,2019-03-22 11:26:55,2019-03-22 11:27:48,Poza stacją…,Dworzec Głółwny 
1398,65887127,57642,2019-03-22 11:27:19,2019-03-22 11:28:34,Poza stacją…,Dworzec Głółwny 
1399,65887179,57810,2019-03-22 11:28:22,2019-03-22 11:28:52,Poza stacją…,Poza stacją…
1400,65887081,57917,2019-03-22 11:26:13,2019-03-22 11:29:14,Dworzec Głółwny ,Dworzec Głółwny 
1401,65887300,57339,2019-03-22 11:30:54,2019-03-22 11:33:08,Dworzec Głółwny ,Dworzec Głółwny 
1402,65887408,57642,2019-03-22 11:33:19,2019-03-22 11:34:41,Dworzec Głółwny ,Dworzec Głółwny 
1403,65887462,57339,2019-03-22 11:34:13,2019-03-22 11:34:50,Dworzec Głółwny ,Dworzec Głółwny 
1404,65887526,57642,2019-03-22 11:35:28,2019-03-22 11:36:17,Dworzec Głółwny ,Dworzec Głółwny 
1405,65887615,57917,2019-03-22 11:36:44,2019-03-22 11:43:03,Dworzec Głółwny ,Dworzec Głółwny 
1406,65888018,57917,2019-03-22 11:44:06,2019-03-22 11:54:29,Dworzec Głółwny ,Dworzec Głółwny 
1407,65888256,57642,2019-03-22 11:48:56,2019-03-22 11:55:56,Dworzec Głółwny ,Dworzec Głółwny 
1408,65890233,57810,2019-03-22 12:23:46,2019-03-22 12:25:18,Poza stacją…,Dworzec Głółwny 
1409,65892224,57087,2019-03-22 12:55:57,2019-03-22 13:06:01,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Plac Uniwersytecki (UWr)
1410,65892255,57557,2019-03-22 12:56:22,2019-03-22 13:06:02,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Plac Uniwersytecki (UWr)
1411,65893149,57087,2019-03-22 13:09:57,2019-03-22 13:11:25,Plac Uniwersytecki (UWr),Plac Uniwersytecki (UWr)
1412,65893246,57557,2019-03-22 13:11:35,2019-03-22 13:11:42,Plac Uniwersytecki (UWr),Plac Uniwersytecki (UWr)
1413,65893389,57557,2019-03-22 13:13:48,2019-03-22 13:14:26,Plac Uniwersytecki (UWr),Plac Uniwersytecki (UWr)
1414,65893510,57557,2019-03-22 13:15:31,2019-03-22 13:15:53,Plac Uniwersytecki (UWr),Plac Uniwersytecki (UWr)
1415,65893619,57557,2019-03-22 13:17:08,2019-03-22 13:17:58,Plac Uniwersytecki (UWr),Poza stacją…
1416,65893759,57557,2019-03-22 13:19:23,2019-03-22 13:19:44,Poza stacją…,Poza stacją…
1417,65893840,57557,2019-03-22 13:20:28,2019-03-22 13:21:18,Poza stacją…,Poza stacją…
1418,65893993,57557,2019-03-22 13:22:39,2019-03-22 13:23:03,Poza stacją…,Plac Uniwersytecki (UWr)
1419,65893872,57170,2019-03-22 13:20:49,2019-03-22 13:28:45,Poza stacją…,Poza stacją…
1420,65895824,57557,2019-03-22 13:48:29,2019-03-22 13:49:08,Plac Uniwersytecki (UWr),Plac Uniwersytecki (UWr)
1421,65895942,57557,2019-03-22 13:50:01,2019-03-22 13:50:35,Plac Uniwersytecki (UWr),Plac Uniwersytecki (UWr)
1422,65896181,57557,2019-03-22 13:53:03,2019-03-22 13:54:59,Plac Uniwersytecki (UWr),Poza stacją…
1423,65896419,57557,2019-03-22 13:56:11,2019-03-22 13:57:11,Poza stacją…,Plac Uniwersytecki (UWr)
1424,65897570,57946,2019-03-22 14:10:50,2019-03-22 14:20:13,Plac Uniwersytecki (UWr),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1425,65897463,57087,2019-03-22 14:09:40,2019-03-22 14:20:45,Plac Uniwersytecki (UWr),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1426,65897426,57557,2019-03-22 14:09:11,2019-03-22 14:20:59,Plac Uniwersytecki (UWr),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1427,65898988,57096,2019-03-22 14:29:37,2019-03-22 14:29:43,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Plac Kościuszki (Renoma)
1428,65897533,57683,2019-03-22 14:10:27,2019-03-22 14:51:56,Plac Uniwersytecki (UWr),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1429,65900721,57557,2019-03-22 14:51:23,2019-03-22 14:51:58,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1430,65900669,57554,2019-03-22 14:50:36,2019-03-22 14:52:10,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1431,65900911,57683,2019-03-22 14:53:21,2019-03-22 14:54:24,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Poza stacją…
1432,65900942,57557,2019-03-22 14:53:41,2019-03-22 14:54:39,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Poza stacją…
1433,65901185,57557,2019-03-22 14:56:25,2019-03-22 14:57:14,Poza stacją…,Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1434,65900679,57946,2019-03-22 14:50:43,2019-03-22 14:58:01,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1435,65901286,57683,2019-03-22 14:57:26,2019-03-22 14:58:39,Poza stacją…,Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1436,65901417,57683,2019-03-22 14:59:16,2019-03-22 14:59:38,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1437,65901495,57683,2019-03-22 15:00:15,2019-03-22 15:01:04,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1438,65901654,57683,2019-03-22 15:01:38,2019-03-22 15:02:17,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1439,65902060,57946,2019-03-22 15:05:25,2019-03-22 15:06:50,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1440,65902931,57557,2019-03-22 15:14:28,2019-03-22 15:15:48,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1441,65903002,57946,2019-03-22 15:15:09,2019-03-22 15:15:58,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1442,65903013,57554,2019-03-22 15:15:16,2019-03-22 15:17:00,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1443,65901814,57683,2019-03-22 15:03:04,2019-03-22 15:17:36,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1444,65903154,57087,2019-03-22 15:16:49,2019-03-22 15:18:06,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1445,65903249,57946,2019-03-22 15:17:51,2019-03-22 15:20:27,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1446,65903419,57554,2019-03-22 15:19:33,2019-03-22 15:21:09,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1447,65903505,57557,2019-03-22 15:20:32,2019-03-22 15:21:31,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1448,65903576,57946,2019-03-22 15:21:22,2019-03-22 15:22:35,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1449,65903754,57683,2019-03-22 15:23:11,2019-03-22 15:23:25,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
1450,65903882,57683,2019-03-22 15:24:23,2019-03-22 15:24:29,Ĺšwidnicka / Piłsudskiego (Hotel Scandic),Ĺšwidnicka / Piłsudskiego (Hotel Scandic)
